FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,12/21/23 07:24:54.898437512
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
56932:ch3,Timeseries,128Hz,,,,,,

DATA_START
Time,56932:ch3
12/21/23 07:24:54.898437512,-0.8375110030174255
12/21/23 07:24:54.906250012,-0.8389942049980164
12/21/23 07:24:54.914062512,-0.8419945240020752
12/21/23 07:24:54.921875012,-0.8422730565071106
12/21/23 07:24:54.929687512,-0.8433647751808167
12/21/23 07:24:54.937500012,-0.8469184637069702
12/21/23 07:24:54.945312512,-0.8514885902404785
12/21/23 07:24:54.953125012,-0.8541914820671082
12/21/23 07:24:54.960937512,-0.8553584814071655
12/21/23 07:24:54.968750012,-0.8573837876319885
12/21/23 07:24:54.976562512,-0.8593337535858154
12/21/23 07:24:54.984375012,-0.8579898476600647
12/21/23 07:24:54.992187512,-0.8580086827278137
12/21/23 07:24:55.000000012,-0.8576247096061707
12/21/23 07:24:55.007812512,-0.8581931591033936
12/21/23 07:24:55.015625012,-0.8545039296150208
12/21/23 07:24:55.023437512,-0.8500241637229919
12/21/23 07:24:55.031250012,-0.8516203165054321
12/21/23 07:24:55.039062512,-0.8504157066345215
12/21/23 07:24:55.046875012,-0.8504495620727539
12/21/23 07:24:55.054687512,-0.8493239879608154
12/21/23 07:24:55.062500012,-0.8507243990898132
12/21/23 07:24:55.070312512,-0.8507808446884155
12/21/23 07:24:55.078125012,-0.8495912551879883
12/21/23 07:24:55.085937512,-0.8492373824119568
12/21/23 07:24:55.093750012,-0.8501371145248413
12/21/23 07:24:55.101562512,-0.8484769463539124
12/21/23 07:24:55.109375012,-0.8467716574668884
12/21/23 07:24:55.117187512,-0.8468130826950073
12/21/23 07:24:55.125000012,-0.8457401990890503
12/21/23 07:24:55.132812512,-0.8437148928642273
12/21/23 07:24:55.140625012,-0.8446296453475952
12/21/23 07:24:55.148437512,-0.8453562259674072
12/21/23 07:24:55.156250012,-0.8455933928489685
12/21/23 07:24:55.164062512,-0.8427624702453613
12/21/23 07:24:55.171875012,-0.8461392521858215
12/21/23 07:24:55.179687512,-0.8470050692558289
12/21/23 07:24:55.187500012,-0.844976007938385
12/21/23 07:24:55.195312512,-0.8467791676521301
12/21/23 07:24:55.203125012,-0.8494971394538879
12/21/23 07:24:55.210937512,-0.8501333594322205
12/21/23 07:24:55.218750012,-0.8516654968261719
12/21/23 07:24:55.226562512,-0.851906418800354
12/21/23 07:24:55.234375012,-0.8561490178108215
12/21/23 07:24:55.242187512,-0.8563447594642639
