FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,12/21/23 04:03:36.195312512
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
56932:ch3,Timeseries,128Hz,,,,,,

DATA_START
Time,56932:ch3
12/21/23 04:03:36.195312512,-0.2035736739635468
12/21/23 04:03:36.203125012,-0.2028282880783081
12/21/23 04:03:36.210937512,-0.202312558889389
12/21/23 04:03:36.218750012,-0.2004114985466003
12/21/23 04:03:36.226562512,-0.1984840631484985
12/21/23 04:03:36.234375012,-0.1968050897121429
12/21/23 04:03:36.242187512,-0.1956155300140381
12/21/23 04:03:36.250000012,-0.1940005421638489
12/21/23 04:03:36.257812512,-0.1917606890201569
12/21/23 04:03:36.265625012,-0.1896412670612335
12/21/23 04:03:36.273437512,-0.1874126791954041
12/21/23 04:03:36.281250012,-0.1862004995346069
12/21/23 04:03:36.289062512,-0.1852594017982483
12/21/23 04:03:36.296875012,-0.184476375579834
12/21/23 04:03:36.304687512,-0.1840208768844604
12/21/23 04:03:36.312500012,-0.1846683621406555
12/21/23 04:03:36.320312512,-0.1856207847595215
12/21/23 04:03:36.328125012,-0.1875406801700592
12/21/23 04:03:36.335937512,-0.1879848837852478
12/21/23 04:03:36.343750012,-0.1888431906700134
12/21/23 04:03:36.351562512,-0.1882596909999847
12/21/23 04:03:36.359375012,-0.1876536011695862
12/21/23 04:03:36.367187512,-0.1864790916442871
12/21/23 04:03:36.375000012,-0.1856433749198914
12/21/23 04:03:36.382812512,-0.1848791837692261
12/21/23 04:03:36.390625012,-0.1854701936244965
12/21/23 04:03:36.398437512,-0.1853497326374054
12/21/23 04:03:36.406250012,-0.1857374906539917
12/21/23 04:03:36.414062512,-0.1865430772304535
12/21/23 04:03:36.421875012,-0.1876573860645294
12/21/23 04:03:36.429687512,-0.1894869208335876
12/21/23 04:03:36.437500012,-0.1922538280487061
12/21/23 04:03:36.445312512,-0.1948738992214203
12/21/23 04:03:36.453125012,-0.1965566277503967
12/21/23 04:03:36.460937512,-0.1978215277194977
12/21/23 04:03:36.468750012,-0.1990901529788971
12/21/23 04:03:36.476562512,-0.2012886106967926
12/21/23 04:03:36.484375012,-0.2028546333312988
12/21/23 04:03:36.492187512,-0.2032009661197662
12/21/23 04:03:36.500000012,-0.2030428647994995
12/21/23 04:03:36.507812512,-0.2018871605396271
12/21/23 04:03:36.515625012,-0.201269805431366
12/21/23 04:03:36.523437512,-0.2004265487194061
12/21/23 04:03:36.531250012,-0.1990976631641388
12/21/23 04:03:36.539062512,-0.1965528726577759
